0,0,0
2.008,0.000209,2.1e-05
4.0161,0.000412,8.4e-05
6.0241,0.000602,0.000188
8.0321,0.000773,0.00033
10.04,0.00092,0.000508
12.048,0.001037,0.000718
14.056,0.00112,0.000956
16.064,0.001163,0.001215
18.072,0.001164,0.001492
20.08,0.00112,0.00178
22.088,0.001028,0.002072
24.096,0.000888,0.002362
26.104,0.000699,0.002643
28.112,0.000462,0.002907
30.12,0.000179,0.003149
32.129,-0.000149,0.003361
34.137,-0.000517,0.003537
36.145,-0.000922,0.003671
38.153,-0.001359,0.003757
40.161,-0.001821,0.003791
42.169,-0.002304,0.003767
44.177,-0.002799,0.003683
46.185,-0.003299,0.003536
48.193,-0.003797,0.003325
50.201,-0.004284,0.003047
52.209,-0.004752,0.002704
54.217,-0.005193,0.002296
56.225,-0.005597,0.001827
58.233,-0.005958,0.001298
60.241,-0.006268,0.000715
62.249,-0.006518,8.2e-05
64.257,-0.006703,-0.000594
66.265,-0.006815,-0.001305
68.273,-0.006851,-0.002046
70.281,-0.006804,-0.002806
72.289,-0.006672,-0.003576
74.297,-0.006452,-0.004348
76.305,-0.006143,-0.005111
78.313,-0.005744,-0.005854
80.321,-0.005256,-0.006567
82.329,-0.004682,-0.007239
84.337,-0.004024,-0.007862
86.345,-0.003288,-0.008423
88.353,-0.002479,-0.008914
90.361,-0.001604,-0.009326
92.369,-0.000671,-0.00965
94.378,0.000312,-0.009878
96.386,0.001333,-0.010005
98.394,0.002383,-0.010024
100.4,0.00345,-0.009932
102.41,0.004522,-0.009724
104.42,0.005586,-0.0094
106.43,0.00663,-0.008958
108.43,0.007641,-0.0084
110.44,0.008605,-0.007728
112.45,0.009509,-0.006946
114.46,0.010342,-0.006058
116.47,0.011091,-0.005073
118.47,0.011745,-0.003997
120.48,0.012293,-0.002841
122.49,0.012725,-0.001614
124.5,0.013033,-0.000329
126.51,0.01321,0.001002
128.51,0.013249,0.002365
130.52,0.013145,0.003745
132.53,0.012896,0.005129
134.54,0.0125,0.006499
136.55,0.011958,0.007841
138.55,0.01127,0.009138
140.56,0.010441,0.010375
142.57,0.009476,0.011537
144.58,0.008382,0.012608
146.59,0.007167,0.013575
148.59,0.005841,0.014423
150.6,0.004417,0.01514
152.61,0.002907,0.015715
154.62,0.001326,0.016137
