A_TX,SIGMA_TX,X_TX,Y_TX,RES_TX,A_BCN,SIGMA_BCN,X_BCN,Y_BCN,RES_BCN
100,2,170,140.2,-1,3423.1179472671397,0.9661381106886532,27.65362927015167,25.572191465127332,115416.83698587056
100,2,-118,140.2,-1,2682.3645437702053,1.5615519114187113,27.24068923528455,25.640148252747878,12384257.488483043
1582.0981453346412,4.812511538840854,18.9021626134531,18.973252012291397,23296422.5049894,4351.400388206253,1.026059316381374,23.60051769553118,17.573633059185,1854486.8710888112
1579.5843692944713,4.797323400962237,19.013016973765986,18.815220451503677,23601099.848167684,4345.404805487076,1.0282193149290908,23.61165892079697,17.56018349441419,1963925.3354158332
1568.1762791339615,4.818413888459647,19.03605398440581,19.204306881180457,23281458.101546507,4348.498776089767,1.0249589481665988,23.60267989831408,17.583017853356665,1854301.028999426
1578.3587492840668,4.795296772812707,19.32117465000323,18.200291888525783,23015216.037418257,4287.729871154014,1.027547655988203,23.60730672298851,16.588349512815057,1856677.9850266606
1568.988883738204,4.804027660524075,19.1210556704429,18.336184657755297,23263651.351758394,4344.122471538817,1.0306455245715027,23.5927567074352,16.570131147897058,1887264.66896564
1575.2486343490607,4.808334276176181,19.176585126733897,18.979501257418946,24684820.4407578,4355.679977825487,1.0217909597285575,23.65323052775804,17.550619491787444,2014050.5876315697
1578.3404923244084,4.802131124145799,19.13115643577524,18.94066438927203,24157408.408282876,4358.975014199743,1.0247453911628452,23.63292449127158,17.544401798780484,2018301.8962244028
1583.0602781083135,4.804762223080074,19.124846650915572,19.181384982984383,23289557.765128303,4335.5470832498295,1.0256431718727081,23.606027305629993,17.576569789811202,1935626.3569604831
1581.787042420408,4.799684525637493,19.253790080354236,19.040708014562767,23970099.42358408,4309.898027281474,1.0286878384750693,23.62799244324549,17.574296491107646,1922043.2714230851
1576.614072795401,4.810654314371846,19.137283884115305,19.09667182501471,24001751.963844955,4349.143162276201,1.022429773258859,23.6327855412587,17.573489896288464,1939005.6636588073
