A_TX,SIGMA_TX,X_TX,Y_TX,RES_TX,A_BCN,SIGMA_BCN,X_BCN,Y_BCN,RES_BCN
500,2,170,140.2,-1,2058.5701783346153,0.8541958213142846,26.659291217607546,25.522431628659234,445546.4020621601
500,2,170,140.2,-1,2064.6661707146873,0.8553013784949794,26.662800771406125,25.491202916640418,422825.52135657676
500,2,170,140.2,-1,2079.402945339678,0.8511254690462436,26.673069513480073,25.49556191726225,443907.3726797998
500,2,170,140.2,-1,2061.7242671139575,0.8562062773581304,26.666207485409018,25.501057198423794,414093.2875349404
500,2,170,140.2,-1,2061.2319831917566,0.8587862302580798,26.694457263785637,25.498070684796502,436636.975960307
